,isbn10,authors
0,0002005883,Marilynne Robinson
1,0002261987,Charles Osborne
1,0002261987,Agatha Christie
2,0006163831,Stephen R. Donaldson
3,0006178731,Sidney Sheldon
4,0006280897,Clive Staples Lewis
5,0006280935,Clive Staples Lewis
6,0006472613,Sidney Sheldon
7,0006479677,Sidney Sheldon
8,0006480098,Robin Hobb
9,0006482074,Janny Wurts
10,0006483011,Terence Hanbury White
11,0006483895,Raymond E. Feist
11,0006483895,Joel Rosenberg
12,0006483909,Raymond E. Feist
12,0006483909,S. M. Stirling
13,000649045X,Agatha Christie
14,0006496431,Philippa Gregory
15,0006496873,Susan Howatch
16,000649689X,Susan Howatch
17,000649692X,Susan Howatch
18,0006498868,Robin Hobb
19,0006499260,Patrick O'Brian
20,0006511481,Kim Stanley Robinson
21,0006512674,Michael Marshall Smith
22,0006513085,Tess Gerritsen
23,0006514642,Philippa Gregory
24,0006514855,Jessica Adams
24,0006514855,Chris Manby
24,0006514855,Fiona Walker
25,0006545866,Joan Didion
26,0006550436,Amy Tan
27,0006551394,Thomas L. Friedman
28,0006551815,Frank McCourt
29,000664600X,Mark Haddon
29,000664600X,Peter Sutton
30,0007103670,Peter Straub
31,0007105045,John Ronald Reuel Tolkien
32,0007113803,Agatha Christie
33,0007116268,Jude Fisher
34,0007117531,Douglas Coupland
35,000711933X,Agatha Christie
36,0007119356,Agatha Christie
37,0007120699,Agatha Christie
38,0007120818,Agatha Christie
39,0007120877,Agatha Christie
40,0007121008,Agatha Christie
41,0007121016,Agatha Christie
42,0007121024,Agatha Christie
43,0007121105,Agatha Christie
44,0007126905,Louis Menand
45,0007129653,Diana Wynne Jones
46,0007130317,Patricia McCormick
47,0007135653,Gary Russell
48,0007137338,Garth Nix
49,0007149611,Daniel Pinchbeck
50,0007149824,Michael Chabon
51,000715030X,Carolyn Meyer
52,0007151241,Tony Parsons
53,0007151675,Agatha Christie
54,0007153589,Jonathan Franzen
55,0007154844,Agatha Christie
56,0007154887,Agatha Christie
57,000715805X,Merlin Holland
58,0007158521,Dr. Seuss
59,0007173024,John Ronald Reuel Tolkien
59,0007173024,Ted Nasmith
60,000717313X,Dr. Seuss
60,000717313X,Barney Tobey
61,0007175221,Dr. Seuss
62,0007178638,Louis Sachar
63,0007179812,Douglas Coupland
64,0007179820,Douglas Coupland
65,0007189958,Cecelia Ahern
66,0007190689,Agatha Christie
67,0007191928,Gary Russell
68,0007195303,Edward P. Jones
69,0007195710,Robin Sharma
70,0007204442,William S. Burroughs
71,0007204469,Henry Miller
72,0007205589,Annie Proulx
73,0020199856,F. Scott Fitzgerald
74,0020360754,Annie Proulx
75,0020442602,Clive Staples Lewis
76,0020518609,Ernest Hemingway
77,0024181900,William Strunk
77,0024181900,Elwyn Brooks White
78,002426640X,Philip Wheelwright
79,0029131693,Lani Guinier
80,0029221307,Aldon D. Morris
81,0029227968,Richard E. Neustadt
82,0030420563,Jacquelyn Reinach
82,0030420563,Richard Hefter
83,0030547741,Wilson Rawls
84,0060000147,Avi
85,0060001534,Doreen Cronin
86,0060004509,Louisa May Alcott
86,0060004509,James Bernardin
87,006000942X,Thomas C. Foster
88,006001234X,Terry Pratchett
89,0060012382,Terry Pratchett
90,0060013133,Terry Pratchett
91,0060084383,Peter Watson
92,0060085444,Meg Cabot
93,0060085495,Aldous Huxley
94,0060088745,James Shapiro
95,0060090375,Marian Keyes
96,0060092572,Michael Crichton
97,0060093749,Milan Kundera
98,0060094931,Terry Pratchett
99,0060099453,Peggy Parish
100,0060175648,Milan Kundera
101,0060177241,Clive Barker
102,006019250X,Paulo Coelho
102,006019250X,Alan R. Clarke
102,006019250X,Moebius
103,0060192771,John Gray
104,0060218053,Julie Andrews Edwards
105,0060245603,Jamie Lee Curtis
106,0060256575,Shel Silverstein
107,0060256753,Shel Silverstein
108,0060277408,Amy Cotler
109,0060278420,William Anderson
110,0060391537,Robin Quivers
111,0060502959,Mary Stewart
112,0060504080,Barbara Kingsolver
113,0060506040,Dan Simmons
114,0060507403,Chip Kidd
115,0060509058,Michael Crichton
116,0060510854,Colleen McCullough
117,0060510862,Joe Haldeman
118,0060511060,Peggy Parish
119,0060511109,Elizabeth Lowell
120,0060511117,Peggy Parish
121,0060511133,Elizabeth Lowell
122,0060511141,Peggy Parish
123,0060512806,Neal Stephenson
124,0060515198,Neil Gaiman
125,0060515228,Neil Gaiman
126,0060516054,Bernard Lewis
127,0060518650,Mark Twain
128,0060519134,Mary Kay Andrews
129,0060521228,Sid Fleischman
130,0060521996,Clayton M. Christensen
131,0060524936,Lee Charles Kelley
132,006052510X,Will Ferguson
133,0060527986,Paulo Coelho
134,0060527994,Paulo Coelho
135,0060529571,Stanley Bing
136,0060531045,Gabriel Garcia Marquez
137,0060535113,Justin Kaplan
138,0060539097,Jenna Jameson
138,0060539097,Neil Strauss
139,0060539259,Richard Wright
140,006054094X,Gavin Menzies
141,0060541814,Michael Crichton
142,0060541830,Michael Crichton
143,0060541881,Terry Pratchett
144,0060542381,Peggy Parish
145,0060543493,Thomas Kinkade
145,0060543493,Erika Tamar
146,0060545844,Sam Weller
147,0060546573,Gregory Maguire
148,0060548282,Mary Stewart
149,0060554738,Neil Strauss
150,0060556501,C. S. Lewis
151,0060556528,Isaac Asimov
152,0060564784,Katrina Kittle
153,0060566108,Jim Collins
153,0060566108,Jerry I. Porras
154,006056668X,Christopher Moore
155,0060567236,Roger Zelazny
156,006057058X,Aldous Huxley
157,0060572000,Simon Winchester
158,0060572965,Kim Harrison
159,0060572973,Kim Harrison
160,0060574216,John Gray
161,0060575816,Garth Nix
162,0060577045,Charles Bukowski
163,006057786X,Laura Schlessinger
164,0060578114,Shirley Rousseau Murphy
165,0060578122,Shirley Rousseau Murphy
166,006058033X,Patrick Robinson
167,0060582502,Don Wolfe
168,0060584025,Janet Evanovich
169,0060584033,Janet Evanovich
170,0060584750,Dennis Lehane
171,0060586540,Herman Melville
172,0060587032,Neil Gaiman
173,0060589280,Paulo Coelho
174,0060589469,Robert M. Pirsig
175,0060590157,Michael Korda
176,0060590270,Christopher Moore
177,0060593083,Neal Stephenson
178,0060593245,Nicholas A. Basbanes
179,0060593636,Suzanne Enoch
180,0060594527,James Hilton
181,0060595183,Aldous Huxley
182,0060598808,Janet Evanovich
183,0060598840,Janet Evanovich
184,0060598859,Janet Evanovich
185,0060598891,Janet Evanovich
186,0060598964,Christopher Hitchens
187,0060598972,Karen Armstrong
188,0060609176,Marcus J. Borg
189,0060609192,Marcus J. Borg
190,006062213X,Elisabeth Elliot
191,006064589X,Sue Monk Kidd
192,0060652853,C. S. Lewis
193,0060652896,C. S. Lewis
194,0060652926,C. S. Lewis
195,0060654856,Thomas Merton
196,0060727535,Johnny Cash
197,0060727632,C. S. Lewis
198,0060730552,Joe Simpson
199,0060731303,Marian Keyes
200,0060732709,Jennifer Frantz
201,0060733357,Neal Stephenson
202,0060734019,Katherine Paterson
203,0060735422,Christopher Moore
204,0060735449,Christopher Moore
205,0060735457,Christopher Moore
206,0060736259,Francesca Lia Block
207,0060737042,Peter Abrahams
208,0060739428,Karen Cushman
209,0060745908,Gregory Maguire
210,0060747226,Gregory Maguire
211,0060747471,Mary Stewart
212,006074748X,Mary Stewart
213,0060753102,Robin McKinley
214,0060753633,Esther Perel
215,0060754001,Kevin Walsh
216,0060758767,Marilyn Johnson
217,0060760257,Kaye Gibbons
218,0060760443,Elizabeth Noble
219,0060760826,Gregory Maguire
220,0060761539,C. S. Lewis
221,0060763728,Francesca Lia Block
222,0060765313,Michael F Roizen
222,0060765313,Mehmet C Oz
223,0060765453,C. S. Lewis
224,0060765488,C. S. Lewis
225,0060766743,R.L. Stine
226,0060773758,Lynsay Sands
227,0060775858,Margaret Wise Brown
228,0060776099,Aldous Huxley
229,0060777109,Michael Chabon
230,0060777338,Ray Bradbury
231,0060778016,Rene Steinke
232,0060782137,Editors of TIME For Kids
233,0060786736,Charles Todd
234,0060787031,Marian Keyes
235,0060788194,Kim Harrison
236,0060788380,Kim Harrison
237,0060790598,Michael Chabon
238,0060792175,Jonathan Safran Foer
239,0060792787,Raymond E. Feist
240,0060792809,Raymond E. Feist
241,0060793198,Jorge Cruise
242,0060815523,Mark Bowden
242,0060815523,Otto Penzler
242,0060815523,Thomas H. Cook
243,0060815914,Trudi Canavan
244,0060815922,Trudi Canavan
245,0060816228,Joyce Carol Oates
246,0060819227,C. S. Lewis
247,0060823720,Mary Stewart
248,0060833173,Neal Stephenson
249,0060833181,Neal Stephenson
250,0060834005,Richard Wright
251,0060837160,John Shea
252,0060837330,Robert Hutchinson
253,0060837551,Colleen McCullough
254,0060838590,Simon Winchester
255,0060839783,Simon Winchester
256,0060840889,Lawrence Block
257,0060841869,Milan Kundera
258,0060844094,Steve Turner
259,0060845244,C. S. Lewis
